Ticket Number,Issued Date,Location,Violation Code,Violation Description,Fine Level 1,Camera ID
"8,000,000,511",11/06/2024 07:46:32,331 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,526",11/06/2024 08:16:44,433 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,523",11/06/2024 08:18:00,337 S DEARBORN ST,09108040,ZERO FINE WARNING - SMRT ST,0,FI3602
"8,000,000,527",11/06/2024 08:20:04,58 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,525",11/06/2024 08:20:12,13 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,528",11/06/2024 08:29:21,1021 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,529",11/06/2024 08:29:22,1019 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,531",11/06/2024 08:33:21,500 W MADISON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,532",11/06/2024 08:34:21,201 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,533",11/06/2024 08:34:25,131 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,534",11/06/2024 08:36:01,555 W WASHINGTON BLVD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,536",11/06/2024 08:36:12,33 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,537",11/06/2024 08:38:09,10 S CLINTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,538",11/06/2024 08:45:21,9 S CLINTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,540",11/06/2024 08:45:22,9 S CLINTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,539",11/06/2024 08:45:47,115 S CLINTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,541",11/06/2024 08:46:02,142 S CLINTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,542",11/06/2024 08:49:16,444 W JACKSON BLVD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,546",11/06/2024 08:51:06,1145 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,548",11/06/2024 08:51:42,911 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,545",11/06/2024 08:51:55,141 W JACKSON BLVD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,547",11/06/2024 08:54:13,27 W JACKSON BLVD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,549",11/06/2024 08:59:00,63 E ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,551",11/06/2024 09:01:23,60 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,550",11/06/2024 09:01:38,118 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,556",11/06/2024 09:02:39,151 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,552",11/06/2024 09:03:44,300 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,554",11/06/2024 09:05:20,131 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,555",11/06/2024 09:05:28,131 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,557",11/06/2024 09:07:10,33 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,559",11/06/2024 09:15:54,1431 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,560",11/06/2024 09:20:01,18 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,561",11/06/2024 09:20:25,43 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,569",11/06/2024 09:22:24,58 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,562",11/06/2024 09:22:25,58 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,563",11/06/2024 09:22:47,30 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,570",11/06/2024 09:22:49,30 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,571",11/06/2024 09:22:50,30 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,566",11/06/2024 09:22:53,20 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,572",11/06/2024 09:23:06,1 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,567",11/06/2024 09:23:08,6 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,564",11/06/2024 09:23:54,1023 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,565",11/06/2024 09:23:55,1021 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,573",11/06/2024 09:25:30,310 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,574",11/06/2024 09:26:49,434 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,577",11/06/2024 09:26:59,460 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,575",11/06/2024 09:27:01,470 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,578",11/06/2024 09:29:17,460 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,580",11/06/2024 09:29:42,415 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,581",11/06/2024 09:38:22,1725 W HARRISON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,582",11/06/2024 09:38:23,1725 W HARRISON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,583",11/06/2024 09:41:19,600 S LOOMIS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,584",11/06/2024 09:44:43,131 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,585",11/06/2024 09:46:23,40 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,586",11/06/2024 09:48:36,915 S LOOMIS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,587",11/06/2024 09:55:02,69 W WASHINGTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,588",11/06/2024 09:59:54,1439 W TAYLOR ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,589",11/06/2024 10:00:55,18 E ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,590",11/06/2024 10:02:39,1025 W TAYLOR ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,595",11/06/2024 10:03:32,151 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,591",11/06/2024 10:03:35,158 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,592",11/06/2024 10:03:59,222 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,593",11/06/2024 10:04:38,300 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,594",11/06/2024 10:04:41,300 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,597",11/06/2024 10:04:44,300 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,596",11/06/2024 10:06:06,367 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,598",11/06/2024 10:06:09,367 W ADAMS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,599",11/06/2024 10:10:25,1200 W ROOSEVELT RD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,600",11/06/2024 10:13:17,1501 W ROOSEVELT RD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,601",11/06/2024 10:22:09,611 W ROOSEVELT RD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,608",11/06/2024 10:24:19,62 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,607",11/06/2024 10:24:33,916 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,609",11/06/2024 10:24:39,48 E CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,602",11/06/2024 10:24:55,1145 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,603",11/06/2024 10:25:04,1101 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,604",11/06/2024 10:25:18,1009 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,605",11/06/2024 10:26:50,825 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,606",11/06/2024 10:27:24,701 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,610",11/06/2024 10:29:17,212 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,611",11/06/2024 10:29:18,212 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,612",11/06/2024 10:29:19,212 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,613",11/06/2024 10:29:23,218 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,614",11/06/2024 10:34:12,826 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,615",11/06/2024 10:34:13,826 S WABASH AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3603
"8,000,000,616",11/06/2024 10:38:33,1051 W HARRISON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,625",11/06/2024 10:44:42,555 W ROOSEVELT RD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3602
"8,000,000,617",11/06/2024 10:44:45,97 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3904
"8,000,000,618",11/06/2024 10:44:51,104 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3904
"8,000,000,619",11/06/2024 10:44:55,106 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3904
"8,000,000,620",11/06/2024 10:44:57,110 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3904
"8,000,000,622",11/06/2024 10:45:02,112 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3904
"8,000,000,623",11/06/2024 10:45:03,114 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3904
"8,000,000,621",11/06/2024 10:45:27,716 N WELLS ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,624",11/06/2024 11:00:38,115 W KINZIE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,630",11/06/2024 11:16:54,110 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,627",11/06/2024 11:16:57,116 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
"8,000,000,628",11/06/2024 11:18:27,200 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,,FI3601
