orig_location,address_clean,latitude,longitude
1111 S WABANSIA AVE,"1111 S WABANSIA AVE Chicago, IL",41.91398861,-87.66165316
1878468 N WELLS ST,"1878468 N WELLS ST Chicago, IL",41.91544808,-87.63485882
40 E CHICAGO AVE,"40 E CHICAGO AVE Chicago, IL.",41.89675794,-87.62664737
140 W CHICAGO AVE,"140 W CHICAGO AVE Chicago, IL.",41.89665919,-87.63396235
1600 W  CHICAGO AVE,"1600 W  CHICAGO AVE Chicago, IL.",41.89612944,-87.66737021
340 W CHICAGO AVE,"340 W CHICAGO AVE Chicago, IL.",41.8966121,-87.63692634
36 W CHICAGO AVE,"36 W CHICAGO AVE Chicago, IL.",41.89671444,-87.62959082
400 E ILLINOIS ST,"400 E ILLINOIS ST Chicago, IL.",41.89110881,-87.61759217
1 W CHICAGO AVE,"1 W CHICAGO AVE Chicago, IL.",41.89661785,-87.62827422
1400 W  CHICAGO AVE,"1400 W  CHICAGO AVE Chicago, IL.",41.89620741,-87.66248708
340 W GRAND AVE ,"340 W GRAND AVE  Chicago, IL.",41.89160295,-87.63669488
400 E GRAND AVE,"400 E GRAND AVE Chicago, IL.",41.89190844,-87.61761728
600 N WELLS ST ,"600 N WELLS ST  Chicago, IL.",41.89244532,-87.63416869
1438 W CHICAGO AVE,"1438 W CHICAGO AVE Chicago, IL.",41.89618344,-87.66395376
522 N MILWAUKEE AVE,"522 N MILWAUKEE AVE Chicago, IL.",41.89188712,-87.64877271
732 N WELLS ST ,"732 N WELLS ST  Chicago, IL.",41.89567648,-87.63425396
1400 W CHICAGO AVE,"1400 W CHICAGO AVE Chicago, IL.",41.89620741,-87.66248708
1500 W CHICAGO AVE,"1500 W CHICAGO AVE Chicago, IL.",41.89616544,-87.66498071
65 E CHICAGO AVE,"65 E CHICAGO AVE Chicago, IL.",41.89664776,-87.62606409
100 W CHICAGO AVE,"100 W CHICAGO AVE Chicago, IL.",41.89669417,-87.63132366
300 W CHICAGO AVE,"300 W CHICAGO AVE Chicago, IL.",41.89663164,-87.63607957
200 W CHICAGO AVE,"200 W CHICAGO AVE Chicago, IL.",41.89664244,-87.63485322
1518 W CHICAGO AVE,"1518 W CHICAGO AVE Chicago, IL.",41.89615426,-87.66573953
502 N MILWAUKEE AVE,"502 N MILWAUKEE AVE Chicago, IL.",41.89124456,-87.64783136
1429 N WELLS ST,"1429 N WELLS ST Chicago, IL.",41.90819268,-87.63454385
1515 N WELLS ST,"1515 N WELLS ST Chicago, IL.",41.90963628,-87.63458391
212 E GRAND AVE,"212 E GRAND AVE Chicago, IL.",41.89182117,-87.62231298
353 N DESPLAINES ST,"353 N DESPLAINES ST Chicago, IL.",41.88834887,-87.64424081
499 N NEW ST,"499 N NEW ST Chicago, IL.",41.89097485,-87.61853078
747 N WELLS ST,"747 N WELLS ST Chicago, IL.",41.89586144,-87.63410679
158 E GRAND AVE,"158 E GRAND AVE Chicago, IL.",41.89180516,-87.62326497
0 E ILLINOIS ST,"1 E ILLINOIS ST Chicago, IL.",41.89081285,-87.62796278
1364 N WELLS ST,"1364 N WELLS ST Chicago, IL.",41.90730804,-87.63467261
1246 N WELLS ST,"1246 N WELLS ST Chicago, IL.",41.90511001,-87.6346013
812 N WELLS ST,"812 N WELLS ST Chicago, IL.",41.89673761,-87.63428572
916 N WELLS ST,"916 N WELLS ST Chicago, IL.",41.8999265,-87.63440339
1241 N WELLS ST,"1241 N WELLS ST Chicago, IL.",41.90431361,-87.63441947
444 N WELLS ST,"444 N WELLS ST Chicago, IL.",41.89020949,-87.63411199
1469 N HALSTED ST,"1469 N HALSTED ST Chicago, IL.",41.90781413,-87.64811776
928 N WELLS ST,"928 N WELLS ST Chicago, IL.",41.90000834,-87.6344074
370 N DESPLAINES ST,"370 N DESPLAINES ST Chicago, IL.",41.88858046,-87.64439829
1421 N WELLS ST,"1421 N WELLS ST Chicago, IL.",41.9080584,-87.63453986
914 N WELLS ST,"914 N WELLS ST Chicago, IL.",41.89991376,-87.63440295
868 N WELLS ST,"868 N WELLS ST Chicago, IL.",41.8971449,-87.63430039
732 N FAIRBANKS CT,"732 N FAIRBANKS CT Chicago, IL.",41.89529346,-87.62040724
641 W GRAND AVE,"641 W GRAND AVE Chicago, IL.",41.89116385,-87.64468172
1438 W  CHICAGO AVE,"1438 W  CHICAGO AVE Chicago, IL.",41.89618344,-87.66395376
1113 W CHICAGO AVE,"1113 W CHICAGO AVE Chicago, IL.",41.89620385,-87.65568355
588 E GRAND AVE,"588 E GRAND AVE Chicago, IL.",41.89218744,-87.60992725
1100 W CHICAGO AVE,"1100 W CHICAGO AVE Chicago, IL.",41.89631457,-87.65602158
1538 N CLARK ST,"1538 N CLARK ST Chicago, IL.",41.91064366,-87.63173202
1362 N DEARBORN PKWY,"1362 N DEARBORN PKWY Chicago, IL.",41.90717032,-87.63016176
875 N WELLS ST,"875 N WELLS ST Chicago, IL.",41.89798587,-87.63417504
1244 N WELLS ST,"1244 N WELLS ST Chicago, IL.",41.90508849,-87.6346007
215 W ILLINOIS ST,"215 W ILLINOIS ST Chicago, IL.",41.89072176,-87.63469872
1219 N MILWAUKEE AVE,"1219 N MILWAUKEE AVE Chicago, IL.",41.90381499,-87.66708125
1303 N MILWAUKEE AVE,"1303 N MILWAUKEE AVE Chicago, IL.",41.90560759,-87.66988453
1441 N MILWAUKEE AVE,"1441 N MILWAUKEE AVE Chicago, IL.",41.90807449,-87.67375429
1444 N MILWAUKEE AVE,"1444 N MILWAUKEE AVE Chicago, IL.",41.90814119,-87.67409458
1166 N MILWAUKEE AVE,"1166 N MILWAUKEE AVE Chicago, IL.",41.90286428,-87.6658296
60 W KINZIE ST,"60 W KINZIE ST Chicago, IL.",41.88927745,-87.63017564
1100 N WELLS ST,"1100 N WELLS ST Chicago, IL.",41.903005,-87.634557
118 W KINZIE ST,"118 W KINZIE ST Chicago, IL.",41.88926288,-87.63136038
1159 N MILWAUKEE AVE,"1159 N MILWAUKEE AVE Chicago, IL.",41.90295556,-87.66573609
1 E CHICAGO AVE,"1 E CHICAGO AVE Chicago, IL.",41.89663871,-87.62677111
532 N ORLEANS ST,"532 N ORLEANS ST Chicago, IL.",41.89102398,-87.63709411
323 E RANDOLPH ST,"323 E RANDOLPH ST Chicago, IL.",41.88425185,-87.62035146
16 W GRAND AVE,"16 W GRAND AVE Chicago, IL.",41.89171944,-87.62835585
1212 N WELLS ST,"1212 N WELLS ST Chicago, IL.",41.90425687,-87.63457155
1306 N DEARBORN PKWY,"1306 N DEARBORN PKWY Chicago, IL.",41.90601377,-87.63012651
1111 N WELLS ST,"1111 N WELLS ST Chicago, IL.",41.90283041,-87.63436297
162 W KINZIE ST,"162 W KINZIE ST Chicago, IL.",41.88925253,-87.6319005
160 W KINZIE ST,"160 W KINZIE ST Chicago, IL.",41.88925299,-87.6318759
802 N DEARBORN ST,"802 N DEARBORN ST Chicago, IL.",41.89673929,-87.62985372
111 W KINZIE ST,"111 W KINZIE ST Chicago, IL.",41.88914099,-87.63173672
1239 N BURLING ST,"1239 N BURLING ST Chicago, IL.",41.90417955,-87.6478491
9 W KINZIE ST,"9 W KINZIE ST Chicago, IL.",41.88919106,-87.62842902
1309 W CHICAGO AVE,"1309 W CHICAGO AVE Chicago, IL.",41.89613185,-87.66003521
1232 W HUBBARD ST,"1232 W HUBBARD ST Chicago, IL.",41.89003113,-87.65857559
11 W GRAND AVE,"11 W GRAND AVE Chicago, IL.",41.89160389,-87.62848645
108 W KINZIE ST,"108 W KINZIE ST Chicago, IL.",41.88926639,-87.63123745
1448 N HALSTED ST,"1448 N HALSTED ST Chicago, IL.",41.90769567,-87.64826984
1503 N HALSTED ST,"1503 N HALSTED ST Chicago, IL.",41.91007889,-87.64817411
